axis,panel_kind,experiment_short,condition,omics,timepoint,timepoint_hours,growth_phase,n_axis_with_data,axis_score,permutation_p_raw,permutation_n_exceed,permutation_mean,permutation_sd,permutation_p_bh,sig_05,sig_01
oxidative,cyanorak,rnaseq_coculture,coculture,RNASEQ,day 60,1440.0,nutrient_limited,25,0.0423527083796181,0.4173582641735826,4173,0.0025205820143596527,0.20331581729749465,0.4462840844628408,False,False
oxidative,cyanorak,rnaseq_coculture,coculture,RNASEQ,day 18,432.0,nutrient_limited,25,0.1701896116138098,0.19158084191580843,1915,-0.0014716768572339567,0.20266334855754678,0.27774822517748227,False,False
photo,positive,rnaseq_coculture,coculture,RNASEQ,day 31,744.0,nutrient_limited,5,0.2694125021006499,0.33066693330666935,3306,0.09197118126267476,0.4481312978354474,0.3799151999693648,False,False
photo,positive,rnaseq_coculture,coculture,RNASEQ,day 89,2136.0,nutrient_limited,5,-0.7563057607017921,0.026197380261973803,261,0.16806074133605106,0.44859272455051685,0.07697691769284609,False,False
photo,positive,rnaseq_coculture,coculture,RNASEQ,day 60,1440.0,nutrient_limited,5,0.4207206058618896,0.25737426257374263,2573,0.15174283602176286,0.4424784068836617,0.32701671009369654,False,False
photo,positive,rnaseq_coculture,coculture,RNASEQ,day 18,432.0,nutrient_limited,5,0.3083660232973552,0.3561643835616438,3561,0.15742263269383075,0.44064984535379115,0.39250768800670954,False,False
photo,cyanorak,rnaseq_coculture,coculture,RNASEQ,day 31,744.0,nutrient_limited,30,0.4780416268912918,0.026497350264973504,264,0.14560878445327008,0.18097206979599348,0.07697691769284609,False,False
photo,cyanorak,rnaseq_coculture,coculture,RNASEQ,day 89,2136.0,nutrient_limited,30,0.3645289766391028,0.33486651334866513,3348,0.2861530082624795,0.1805456318173316,0.38069035201742984,False,False
photo,cyanorak,rnaseq_coculture,coculture,RNASEQ,day 60,1440.0,nutrient_limited,30,0.844859998133353,0.0004999500049995,4,0.24086129530671943,0.1777023055648382,0.0028418210810497897,True,True
photo,cyanorak,rnaseq_coculture,coculture,RNASEQ,day 18,432.0,nutrient_limited,30,0.6621421803936033,0.0100989901009899,100,0.24849720460398483,0.17881967794707962,0.03518357841635191,True,False
proteotoxic,positive,rnaseq_coculture,coculture,RNASEQ,day 31,744.0,nutrient_limited,5,0.5808139973225894,0.09519048095190481,951,0.028235575264455973,0.4471016382786636,0.19038096190380963,False,False
proteotoxic,positive,rnaseq_coculture,coculture,RNASEQ,day 89,2136.0,nutrient_limited,5,0.7166626646004701,0.06869313068693131,686,0.06291575269603143,0.4534242349286944,0.14837716228377162,False,False
proteotoxic,positive,rnaseq_coculture,coculture,RNASEQ,day 60,1440.0,nutrient_limited,5,0.3257430258372572,0.2502749725027497,2502,0.04996606673252427,0.4465728607353705,0.32178210750353536,False,False
