locus_tag,term_id,term_name
PMM0325,go:0009767,photosynthetic electron transport chain
PMM0326,go:0009767,photosynthetic electron transport chain
PMM0327,go:0005975,carbohydrate metabolic process
PMM0328,go:0006281,DNA repair
PMM0329,go:0015979,photosynthesis
PMM0331,go:0006081,aldehyde metabolic process
PMM0331,go:0006950,response to stress
PMM0336,go:0010230,alternative respiration
PMM0339,go:0016117,carotenoid biosynthetic process
PMM0343,go:0015628,protein secretion by the type II secretion system
PMM0343,go:0043953,protein transport by the Tat complex
PMM0343,go:0065002,intracellular protein transmembrane transport
PMM0345,go:0034599,cellular response to oxidative stress
PMM0345,go:0045454,cell redox homeostasis
PMM0349,go:0006415,translational termination
PMM0349,go:0072344,rescue of stalled cytosolic ribosome
PMM0352,go:0071586,CAAX-box protein processing
PMM0353,go:0005975,carbohydrate metabolic process
PMM0356,go:0006508,proteolysis
PMM0356,go:0030163,protein catabolic process
PMM0358,go:0009228,thiamine biosynthetic process
PMM0363,go:0006355,regulation of DNA-templated transcription
PMM0367,go:0017000,antibiotic biosynthetic process
PMM0370,go:0006811,monoatomic ion transport
PMM0370,go:0015704,cyanate transport
PMM0371,go:0006811,monoatomic ion transport
PMM0371,go:0015704,cyanate transport
PMM0371,go:0015706,nitrate transmembrane transport
PMM0371,go:0042918,alkanesulfonate transmembrane transport
PMM0372,go:0006811,monoatomic ion transport
PMM0372,go:0015704,cyanate transport
PMM0373,go:0009440,cyanate catabolic process
PMM0374,go:0015628,protein secretion by the type II secretion system
PMM0374,go:0043953,protein transport by the Tat complex
PMM0374,go:0065002,intracellular protein transmembrane transport
PMM0382,go:0032259,methylation
PMM0383,go:0006974,DNA damage response
PMM0386,go:0032259,methylation
PMM0387,go:0009423,chorismate biosynthetic process
PMM0388,go:0006400,tRNA modification
PMM0389,go:0009236,cobalamin biosynthetic process
PMM0389,go:0032259,methylation
PMM0391,go:0042254,ribosome biogenesis
PMM0392,go:0055085,transmembrane transport
PMM0394,go:0051301,cell division
PMM0395,go:0051301,cell division
PMM0396,go:0008652,amino acid biosynthetic process
PMM0396,go:0055129,L-proline biosynthetic process
PMM0398,go:0006302,double-strand break repair
PMM0398,go:0006310,DNA recombination
PMM0398,go:0006914,autophagy
PMM0399,go:0009264,deoxyribonucleotide catabolic process
PMM0400,go:0044238,primary metabolic process
PMM0400,go:0045900,negative regulation of translational elongation
PMM0401,go:0009249,protein lipoylation
PMM0402,go:0008152,metabolic process
PMM0405,go:0006086,pyruvate decarboxylation to acetyl-CoA
PMM0406,go:0008616,tRNA queuosine(34) biosynthetic process
PMM0406,go:0042455,ribonucleoside biosynthetic process
PMM0407,go:0006535,L-cysteine biosynthetic process from L-serine
PMM0407,go:0008652,amino acid biosynthetic process
PMM0408,go:0008652,amino acid biosynthetic process
PMM0408,go:0019346,transsulfuration
PMM0409,go:0008652,amino acid biosynthetic process
PMM0409,go:0019343,L-cysteine biosynthetic process via L-cystathionine
PMM0409,go:0019346,transsulfuration
PMM0409,go:0071266,^de novo^ L-methionine biosynthetic process
PMM0410,go:0006412,translation
PMM0410,go:0045903,positive regulation of translational fidelity
PMM0411,go:0015031,protein transport
PMM0411,go:0051205,protein insertion into membrane
PMM0413,go:0008360,regulation of cell shape
PMM0413,go:0009058,biosynthetic process
PMM0413,go:0051301,cell division
PMM0414,go:0008152,metabolic process
PMM0415,go:0008152,metabolic process
PMM0418,go:0016226,iron-sulfur cluster assembly
PMM0419,go:0006099,tricarboxylic acid cycle
PMM0421,go:0006810,transport
PMM0422,go:0002938,tRNA guanine ribose methylation
PMM0422,go:0006396,RNA processing
PMM0425,go:0006281,DNA repair
PMM0426,go:0006355,regulation of DNA-templated transcription
PMM0426,go:0070475,rRNA base methylation
PMM0427,go:0006508,proteolysis
PMM0427,go:0008360,regulation of cell shape
PMM0427,go:0009252,peptidoglycan biosynthetic process
PMM0427,go:0051301,cell division
PMM0427,go:0071555,cell wall organization
PMM0428,go:0015995,chlorophyll biosynthetic process
PMM0429,go:0009767,photosynthetic electron transport chain
PMM0430,go:0000105,L-histidine biosynthetic process
PMM0430,go:0008652,amino acid biosynthetic process
PMM0431,go:0006744,ubiquinone biosynthetic process
PMM0431,go:0009060,aerobic respiration
PMM0431,go:0009234,menaquinone biosynthetic process
PMM0431,go:0032259,methylation
PMM0431,go:0042372,phylloquinone biosynthetic process
PMM0433,go:0036211,protein modification process
PMM0434,go:0000917,division septum assembly
PMM0434,go:0051301,cell division
PMM0435,go:0042773,ATP synthesis coupled electron transport
PMM0436,go:0006260,DNA replication
PMM0436,go:0006265,DNA topological change
PMM0442,go:0009231,riboflavin biosynthetic process
PMM0444,go:0019646,aerobic electron transport chain
PMM0445,go:0006119,oxidative phosphorylation
PMM0445,go:0015990,electron transport coupled proton transport
PMM0445,go:0022904,respiratory electron transport chain
PMM0446,go:0009167,purine ribonucleoside monophosphate metabolic process
PMM0446,go:0016310,phosphorylation
PMM0446,go:0042773,ATP synthesis coupled electron transport
PMM0446,go:0046034,ATP metabolic process
PMM0447,go:0006784,heme A biosynthetic process
PMM0447,go:0017004,cytochrome complex assembly
PMM0448,go:0045333,cellular respiration
PMM0448,go:0048034,heme O biosynthetic process
